Date,Open,Low,High,Close,Adj Close,Volume
2021-10-03,4.12,4.12,4.12,4.12,4.12,-
2021-10-02,4.12,4.12,4.12,4.12,4.12,-
2021-10-01,4.12,4.12,4.12,4.12,4.12,-
2021-09-30,4.12,4.12,4.12,4.12,4.12,-
2021-09-29,4.12,4.12,4.12,4.12,4.12,-
2021-09-28,4.12,4.12,4.12,4.12,4.12,-
2021-09-27,4.12,4.12,4.12,4.12,4.12,-
2021-09-26,4.12,4.12,4.12,4.12,4.12,-
2021-09-25,4.12,4.12,4.12,4.12,4.12,-
2021-09-24,4.12,4.12,4.12,4.12,4.12,-
2021-09-23,4.12,4.12,4.12,4.12,4.12,-
2021-09-22,4.12,4.12,4.12,4.12,4.12,-
2021-09-21,4.12,4.12,4.12,4.12,4.12,-
2021-09-20,4.12,4.12,4.12,4.12,4.12,-
2021-09-19,4.12,4.12,4.12,4.12,4.12,-
2021-09-18,4.12,4.12,4.12,4.12,4.12,-
2021-09-17,4.12,4.12,4.12,4.12,4.12,-
2021-09-16,4.12,4.12,4.12,4.12,4.12,-
2021-09-15,4.12,4.12,4.12,4.12,4.12,-
2021-09-14,4.12,4.12,4.12,4.12,4.12,-
2021-09-13,4.12,4.12,4.12,4.12,4.12,-
2021-09-12,4.12,4.12,4.12,4.12,4.12,-
2021-09-11,4.12,4.12,4.12,4.12,4.12,-
2021-09-10,4.12,4.12,4.12,4.12,4.12,-
2021-09-09,4.12,4.12,4.12,4.12,4.12,-
2021-09-08,4.12,4.12,4.12,4.12,4.12,-
2021-09-07,4.12,4.12,4.12,4.12,4.12,-
2021-09-06,4.12,4.12,4.12,4.12,4.12,-
2021-09-05,4.12,4.12,4.12,4.12,4.12,-
2021-09-04,4.12,4.12,4.12,4.12,4.12,-
2021-09-03,4.12,4.12,4.12,4.12,4.12,-
2021-09-02,4.12,4.12,4.12,4.12,4.12,-
2021-09-01,4.12,4.12,4.12,4.12,4.12,-
2021-08-31,4.12,4.12,4.12,4.12,4.12,-
2021-08-30,4.12,4.12,4.12,4.12,4.12,-
2021-08-29,4.12,4.12,4.12,4.12,4.12,-
2021-08-28,4.12,4.12,4.12,4.12,4.12,-
2021-08-27,4.12,4.12,4.12,4.12,4.12,-
2021-08-26,4.12,4.12,4.12,4.12,4.12,-
2021-08-25,4.12,4.12,4.12,4.12,4.12,-
2021-08-24,4.12,4.12,4.12,4.12,4.12,-
2021-08-23,4.12,4.12,4.12,4.12,4.12,-
2021-08-22,4.12,4.12,4.12,4.12,4.12,-
2021-08-21,4.12,4.12,4.12,4.12,4.12,-
2021-08-20,4.12,4.12,4.12,4.12,4.12,-
2021-08-19,4.12,4.12,4.12,4.12,4.12,-
2021-08-18,4.12,4.12,4.12,4.12,4.12,-
2021-08-17,4.12,4.12,4.12,4.12,4.12,-
2021-08-16,4.12,4.12,4.12,4.12,4.12,-
2021-08-15,4.12,4.12,4.12,4.12,4.12,-
2021-08-14,4.12,4.12,4.12,4.12,4.12,-
2021-08-13,4.12,4.12,4.12,4.12,4.12,-
2021-08-12,4.12,4.12,4.12,4.12,4.12,-
2021-08-11,4.12,4.12,4.12,4.12,4.12,-
2021-08-10,4.12,4.12,4.12,4.12,4.12,-
2021-08-09,4.12,4.12,4.12,4.12,4.12,-
2021-08-08,4.12,4.12,4.12,4.12,4.12,-
2021-08-07,4.12,4.12,4.12,4.12,4.12,-
2021-08-06,4.12,4.12,4.12,4.12,4.12,-
2021-08-05,4.12,4.12,4.12,4.12,4.12,-
2021-08-04,4.12,4.12,4.12,4.12,4.12,-
2021-08-03,4.12,4.12,4.12,4.12,4.12,-
2021-08-02,4.12,4.12,4.12,4.12,4.12,-
2021-08-01,4.12,4.12,4.12,4.12,4.12,-
2021-07-31,4.12,4.12,4.12,4.12,4.12,-
2021-07-30,4.12,4.12,4.12,4.12,4.12,-
2021-07-29,4.12,4.12,4.12,4.12,4.12,-
2021-07-28,4.12,4.12,4.12,4.12,4.12,-
2021-07-27,4.12,4.12,4.12,4.12,4.12,-
2021-07-26,4.12,4.12,4.12,4.12,4.12,-
2021-07-25,4.12,4.12,4.12,4.12,4.12,-
2021-07-24,4.12,4.12,4.12,4.12,4.12,-
2021-07-23,4.12,4.12,4.12,4.12,4.12,-
2021-07-22,4.12,4.12,4.12,4.12,4.12,-
2021-07-21,4.12,4.12,4.12,4.12,4.12,-
2021-07-20,4.12,4.12,4.12,4.12,4.12,-
2021-07-19,4.12,4.12,4.12,4.12,4.12,-
2021-07-18,4.12,4.12,4.12,4.12,4.12,-
2021-07-17,4.12,4.12,4.12,4.12,4.12,-
2021-07-16,4.12,4.12,4.12,4.12,4.12,-
2021-07-15,4.12,4.12,4.12,4.12,4.12,-
2021-07-14,4.12,4.12,4.12,4.12,4.12,-
2021-07-13,4.12,4.12,4.12,4.12,4.12,-
2021-07-12,4.12,4.12,4.12,4.12,4.12,-
2021-07-11,4.12,4.12,4.12,4.12,4.12,-
2021-07-10,4.12,4.12,4.12,4.12,4.12,-
2021-07-09,4.12,4.12,4.12,4.12,4.12,-
2021-07-08,4.12,4.12,4.12,4.12,4.12,-
2021-07-07,4.12,4.12,4.12,4.12,4.12,-
2021-07-06,4.12,4.12,4.12,4.12,4.12,-
2021-07-05,4.12,4.12,4.12,4.12,4.12,-
2021-07-04,4.12,4.12,4.12,4.12,4.12,-
2021-07-03,4.12,4.12,4.12,4.12,4.12,-
2021-07-02,4.12,4.12,4.12,4.12,4.12,-
2021-07-01,4.12,4.12,4.12,4.12,4.12,-
2021-06-30,4.12,4.12,4.12,4.12,4.12,-
2021-06-29,4.12,4.12,4.12,4.12,4.12,-
2021-06-28,4.12,4.12,4.12,4.12,4.12,-
2021-06-27,4.12,4.12,4.12,4.12,4.12,-
2021-06-26,4.12,4.12,4.12,4.12,4.12,-
2021-06-25,4.12,4.12,4.12,4.12,4.12,-
2021-06-24,4.12,4.12,4.12,4.12,4.12,-
2021-06-23,4.12,4.12,4.12,4.12,4.12,-
2021-06-22,4.12,4.12,4.12,4.12,4.12,-
2021-06-21,4.12,4.12,4.12,4.12,4.12,-
2021-06-20,4.12,4.12,4.12,4.12,4.12,-
2021-06-19,4.12,4.12,4.12,4.12,4.12,-
2021-06-18,4.12,4.12,4.12,4.12,4.12,-
2021-06-17,4.12,4.12,4.12,4.12,4.12,-
2021-06-16,4.12,4.12,4.12,4.12,4.12,-
2021-06-15,4.12,4.12,4.12,4.12,4.12,-
2021-06-14,4.12,4.12,4.12,4.12,4.12,-
2021-06-13,4.12,4.12,4.12,4.12,4.12,-
2021-06-12,4.12,4.12,4.12,4.12,4.12,-
2021-06-11,4.12,4.12,4.12,4.12,4.12,-
2021-06-10,4.12,4.12,4.12,4.12,4.12,-
2021-06-09,4.12,4.12,4.12,4.12,4.12,-
2021-06-08,4.12,4.12,4.12,4.12,4.12,-
2021-06-07,4.12,4.12,4.12,4.12,4.12,-
2021-06-06,4.12,4.12,4.12,4.12,4.12,-
2021-06-05,4.12,4.12,4.12,4.12,4.12,-
2021-06-04,4.12,4.12,4.12,4.12,4.12,-
2021-06-03,4.12,4.12,4.12,4.12,4.12,-
2021-06-02,4.12,4.12,4.12,4.12,4.12,-
2021-06-01,4.12,4.12,4.12,4.12,4.12,-
2021-05-31,4.12,4.12,4.12,4.12,4.12,-
2021-05-30,4.12,4.12,4.12,4.12,4.12,-
2021-05-29,4.12,4.12,4.12,4.12,4.12,-
2021-05-28,4.12,4.12,4.12,4.12,4.12,-
2021-05-27,4.12,4.12,4.12,4.12,4.12,-
2021-05-26,4.12,4.12,4.12,4.12,4.12,-
2021-05-25,4.12,4.12,4.12,4.12,4.12,-
2021-05-24,4.12,4.12,4.12,4.12,4.12,-
2021-05-23,4.12,4.12,4.12,4.12,4.12,-
2021-05-22,4.12,4.12,4.12,4.12,4.12,-
2021-05-21,4.12,4.12,4.12,4.12,4.12,-
2021-05-20,4.12,4.12,4.12,4.12,4.12,-
2021-05-19,4.12,4.12,4.12,4.12,4.12,-
2021-05-18,4.12,4.12,4.12,4.12,4.12,-
2021-05-17,4.12,4.12,4.12,4.12,4.12,-
2021-05-16,4.12,4.12,4.12,4.12,4.12,-
2021-05-15,4.12,4.12,4.12,4.12,4.12,-
2021-05-14,4.12,4.12,4.12,4.12,4.12,-
2021-05-13,4.12,4.12,4.12,4.12,4.12,-
2021-05-12,4.12,4.12,4.12,4.12,4.12,-
2021-05-11,4.12,4.12,4.12,4.12,4.12,-
2021-05-10,4.12,4.12,4.12,4.12,4.12,-
2021-05-09,4.12,4.12,4.12,4.12,4.12,-
2021-05-08,4.12,4.12,4.12,4.12,4.12,-
2021-05-07,4.12,4.12,4.12,4.12,4.12,-
2021-05-06,4.12,4.12,4.12,4.12,4.12,-
2021-05-05,4.12,4.12,4.12,4.12,4.12,-
2021-05-04,4.12,4.12,4.12,4.12,4.12,-
2021-05-03,4.12,4.12,4.12,4.12,4.12,-
2021-05-02,4.12,4.12,4.12,4.12,4.12,-
2021-05-01,4.12,4.12,4.12,4.12,4.12,-
2021-04-30,4.12,4.12,4.12,4.12,4.12,-
2021-04-29,4.12,4.12,4.12,4.12,4.12,-
2021-04-28,4.12,4.12,4.12,4.12,4.12,-
2021-04-27,4.12,4.12,4.12,4.12,4.12,-
2021-04-26,4.12,4.12,4.12,4.12,4.12,-
2021-04-25,4.12,4.12,4.12,4.12,4.12,-
2021-04-24,4.12,4.12,4.12,4.12,4.12,-
2021-04-23,4.12,4.12,4.12,4.12,4.12,-
2021-04-22,4.12,4.12,4.12,4.12,4.12,-
2021-04-21,4.12,4.12,4.12,4.12,4.12,-
2021-04-20,4.12,4.12,4.12,4.12,4.12,-
2021-04-19,4.12,4.12,4.12,4.12,4.12,-
2021-04-18,4.12,4.12,4.12,4.12,4.12,-
2021-04-17,4.12,4.12,4.12,4.12,4.12,-
2021-04-16,4.12,4.12,4.12,4.12,4.12,-
2021-04-15,4.12,4.12,4.12,4.12,4.12,-
2021-04-14,4.12,4.12,4.12,4.12,4.12,-
2021-04-13,4.12,4.12,4.12,4.12,4.12,-
2021-04-12,4.12,4.12,4.12,4.12,4.12,-
2021-04-11,4.12,4.12,4.12,4.12,4.12,-
2021-04-10,4.12,4.12,4.12,4.12,4.12,-
2021-04-09,4.12,4.12,4.12,4.12,4.12,-
2021-04-08,4.12,4.12,4.12,4.12,4.12,-
2021-04-07,4.12,4.12,4.12,4.12,4.12,-
2021-04-06,4.12,4.12,4.12,4.12,4.12,-
2021-04-05,4.12,4.12,4.12,4.12,4.12,-
2021-04-04,4.12,4.12,4.12,4.12,4.12,-
2021-04-03,4.12,4.12,4.12,4.12,4.12,-
2021-04-02,4.12,4.12,4.12,4.12,4.12,-
2021-04-01,4.12,4.12,4.12,4.12,4.12,-
2021-03-31,4.12,4.12,4.12,4.12,4.12,-
2021-03-30,4.12,4.12,4.12,4.12,4.12,-
2021-03-29,4.12,4.12,4.12,4.12,4.12,-
2021-03-28,4.12,4.12,4.12,4.12,4.12,-
2021-03-27,4.12,4.12,4.12,4.12,4.12,-
2021-03-26,4.12,4.12,4.12,4.12,4.12,-
2021-03-25,4.12,4.12,4.12,4.12,4.12,-
2021-03-24,4.12,4.12,4.12,4.12,4.12,-
2021-03-23,4.12,4.12,4.12,4.12,4.12,-
2021-03-22,4.12,4.12,4.12,4.12,4.12,-
2021-03-21,4.12,4.12,4.12,4.12,4.12,-
2021-03-20,4.12,4.12,4.12,4.12,4.12,-
2021-03-19,4.12,4.12,4.12,4.12,4.12,-
2021-03-18,4.12,4.12,4.12,4.12,4.12,-
2021-03-17,4.12,4.12,4.12,4.12,4.12,-
2021-03-16,4.12,4.12,4.12,4.12,4.12,-
2021-03-15,4.12,4.12,4.12,4.12,4.12,-
2021-03-14,4.12,4.12,4.12,4.12,4.12,-
2021-03-13,4.12,4.12,4.12,4.12,4.12,-
2021-03-12,4.12,4.12,4.12,4.12,4.12,-
2021-03-11,4.12,4.12,4.12,4.12,4.12,-
2021-03-10,4.12,4.12,4.12,4.12,4.12,-
2021-03-09,4.12,4.12,4.12,4.12,4.12,-
2021-03-08,4.12,4.12,4.12,4.12,4.12,-
2021-03-07,4.12,4.12,4.12,4.12,4.12,-
2021-03-06,4.12,4.12,4.12,4.12,4.12,-
2021-03-05,4.12,4.12,4.12,4.12,4.12,-
2021-03-04,4.12,4.12,4.12,4.12,4.12,-
2021-03-03,4.12,4.12,4.12,4.12,4.12,-
2021-03-02,4.12,4.12,4.12,4.12,4.12,-
2021-03-01,4.12,4.12,4.12,4.12,4.12,-
2021-02-28,4.12,4.12,4.12,4.12,4.12,-
2021-02-27,4.12,4.12,4.12,4.12,4.12,-
2021-02-26,4.12,4.12,4.12,4.12,4.12,-
2021-02-25,4.12,4.12,4.12,4.12,4.12,-
2021-02-24,4.12,4.12,4.12,4.12,4.12,-
2021-02-23,4.12,4.12,4.12,4.12,4.12,-
2021-02-22,4.12,4.12,4.12,4.12,4.12,-
2021-02-21,4.12,4.12,4.12,4.12,4.12,-
2021-02-20,4.12,4.12,4.12,4.12,4.12,-
2021-02-19,4.12,4.12,4.12,4.12,4.12,-
2021-02-18,4.12,4.12,4.12,4.12,4.12,-
2021-02-17,4.12,4.12,4.12,4.12,4.12,-
2021-02-16,4.12,4.12,4.12,4.12,4.12,-
2021-02-15,4.12,4.12,4.12,4.12,4.12,-
2021-02-14,4.12,4.12,4.12,4.12,4.12,-
2021-02-13,4.12,4.12,4.12,4.12,4.12,-
2021-02-12,4.12,4.12,4.12,4.12,4.12,-
2021-02-11,4.12,4.12,4.12,4.12,4.12,-
2021-02-10,4.12,4.12,4.12,4.12,4.12,-
2021-02-09,4.12,4.12,4.12,4.12,4.12,-
2021-02-08,4.12,4.12,4.12,4.12,4.12,-
2021-02-07,4.12,4.12,4.12,4.12,4.12,-
2021-02-06,4.12,4.12,4.12,4.12,4.12,-
2021-02-05,4.12,4.12,4.12,4.12,4.12,-
2021-02-04,4.12,4.12,4.12,4.12,4.12,-
2021-02-03,4.12,4.12,4.12,4.12,4.12,-
2021-02-02,4.12,4.12,4.12,4.12,4.12,-
2021-02-01,4.12,4.12,4.12,4.12,4.12,-
2021-01-31,4.12,4.12,4.12,4.12,4.12,-
2021-01-30,4.12,4.12,4.12,4.12,4.12,-
2021-01-29,4.12,4.12,4.12,4.12,4.12,-
2021-01-28,4.12,4.12,4.12,4.12,4.12,-
2021-01-27,4.12,4.12,4.12,4.12,4.12,-
2021-01-26,4.12,4.12,4.12,4.12,4.12,-
2021-01-25,4.12,4.12,4.12,4.12,4.12,-
2021-01-24,4.12,4.12,4.12,4.12,4.12,-
2021-01-23,4.12,4.12,4.12,4.12,4.12,-
2021-01-22,4.12,4.12,4.12,4.12,4.12,-
2021-01-21,4.12,4.12,4.12,4.12,4.12,-
2021-01-20,4.12,4.12,4.12,4.12,4.12,-
2021-01-19,4.12,4.12,4.12,4.12,4.12,-
2021-01-18,4.12,4.12,4.12,4.12,4.12,-
2021-01-17,4.12,4.12,4.12,4.12,4.12,-
2021-01-16,4.12,4.12,4.12,4.12,4.12,-
2021-01-15,4.12,4.12,4.12,4.12,4.12,-
2021-01-14,4.12,4.12,4.12,4.12,4.12,-
2021-01-13,4.12,4.12,4.12,4.12,4.12,-
2021-01-12,4.12,4.12,4.12,4.12,4.12,-
2021-01-11,4.12,4.12,4.12,4.12,4.12,-
2021-01-10,4.12,4.12,4.12,4.12,4.12,-
2021-01-09,4.12,4.12,4.12,4.12,4.12,-
2021-01-08,4.12,4.12,4.12,4.12,4.12,-
2021-01-07,4.12,4.12,4.12,4.12,4.12,-
2021-01-06,4.12,4.12,4.12,4.12,4.12,-
2021-01-05,4.12,4.12,4.12,4.12,4.12,-
2021-01-04,4.12,4.12,4.12,4.12,4.12,-
2021-01-03,4.12,4.12,4.12,4.12,4.12,-
2021-01-02,4.12,4.12,4.12,4.12,4.12,-
2021-01-01,4.12,4.12,4.12,4.12,4.12,-
2020-12-31,4.12,4.12,4.12,4.12,4.12,-
2020-12-30,4.12,4.12,4.12,4.12,4.12,-
2020-12-29,4.12,4.12,4.12,4.12,4.12,-
2020-12-28,4.12,4.12,4.12,4.12,4.12,-
2020-12-27,4.12,4.12,4.12,4.12,4.12,-
2020-12-26,4.12,4.12,4.12,4.12,4.12,-
2020-12-25,4.12,4.12,4.12,4.12,4.12,-
2020-12-24,4.12,4.12,4.12,4.12,4.12,-
2020-12-23,4.12,4.12,4.12,4.12,4.12,-
2020-12-22,4.12,4.12,4.12,4.12,4.12,-
2020-12-21,4.12,4.12,4.12,4.12,4.12,-
2020-12-20,4.12,4.12,4.12,4.12,4.12,-
2020-12-19,4.12,4.12,4.12,4.12,4.12,-
2020-12-18,4.12,4.12,4.12,4.12,4.12,-
2020-12-17,4.12,4.12,4.12,4.12,4.12,-
2020-12-16,4.12,4.12,4.12,4.12,4.12,-
2020-12-15,4.12,4.12,4.12,4.12,4.12,-
2020-12-14,4.12,4.12,4.12,4.12,4.12,-
2020-12-13,4.12,4.12,4.12,4.12,4.12,-
2020-12-12,4.12,4.12,4.12,4.12,4.12,-
2020-12-11,4.12,4.12,4.12,4.12,4.12,-
2020-12-10,4.12,4.12,4.12,4.12,4.12,-
2020-12-09,4.12,4.12,4.12,4.12,4.12,-
2020-12-08,4.12,4.12,4.12,4.12,4.12,-
2020-12-07,4.12,4.12,4.12,4.12,4.12,-
2020-12-06,4.12,4.12,4.12,4.12,4.12,-
2020-12-05,4.12,4.12,4.12,4.12,4.12,-
2020-12-04,4.12,4.12,4.12,4.12,4.12,-
2020-12-03,4.12,4.12,4.12,4.12,4.12,-
2020-12-02,4.12,4.12,4.12,4.12,4.12,-
2020-12-01,4.12,4.12,4.12,4.12,4.12,-
2020-11-30,4.12,4.12,4.12,4.12,4.12,-
2020-11-29,4.12,4.12,4.12,4.12,4.12,-
2020-11-28,4.12,4.12,4.12,4.12,4.12,-
2020-11-27,4.12,4.12,4.12,4.12,4.12,-
2020-11-26,4.12,4.12,4.12,4.12,4.12,-
2020-11-25,4.12,4.12,4.12,4.12,4.12,-
2020-11-24,4.12,4.12,4.12,4.12,4.12,-
2020-11-23,4.12,4.12,4.12,4.12,4.12,-
2020-11-22,4.12,4.12,4.12,4.12,4.12,-
2020-11-21,4.12,4.12,4.12,4.12,4.12,-
2020-11-20,4.12,4.12,4.12,4.12,4.12,-
2020-11-19,4.12,4.12,4.12,4.12,4.12,-
2020-11-18,4.12,4.12,4.12,4.12,4.12,-
2020-11-17,4.12,4.12,4.12,4.12,4.12,-
2020-11-16,4.12,4.12,4.12,4.12,4.12,-
2020-11-15,4.12,4.12,4.12,4.12,4.12,-
2020-11-14,4.12,4.12,4.12,4.12,4.12,-
2020-11-13,4.12,4.12,4.12,4.12,4.12,-
2020-11-12,4.12,4.12,4.12,4.12,4.12,-
2020-11-11,4.12,4.12,4.12,4.12,4.12,-
2020-11-10,4.12,4.12,4.12,4.12,4.12,-
2020-11-09,4.12,4.12,4.12,4.12,4.12,-
2020-11-08,4.12,4.12,4.12,4.12,4.12,-
2020-11-07,4.12,4.12,4.12,4.12,4.12,-
2020-11-06,4.12,4.12,4.12,4.12,4.12,-
2020-11-05,4.12,4.12,4.12,4.12,4.12,-
2020-11-04,4.12,4.12,4.12,4.12,4.12,-
2020-11-03,4.12,4.12,4.12,4.12,4.12,-
2020-11-02,4.12,4.12,4.12,4.12,4.12,-
2020-11-01,4.12,4.12,4.12,4.12,4.12,-
2020-10-31,4.12,4.12,4.12,4.12,4.12,-
2020-10-30,4.12,4.12,4.12,4.12,4.12,-
2020-10-29,4.12,4.12,4.12,4.12,4.12,-
2020-10-28,4.12,4.12,4.12,4.12,4.12,-
2020-10-27,4.12,4.12,4.12,4.12,4.12,-
2020-10-26,4.12,4.12,4.12,4.12,4.12,-
2020-10-25,4.12,4.12,4.12,4.12,4.12,-
2020-10-24,4.12,4.12,4.12,4.12,4.12,-
2020-10-23,4.12,4.12,4.12,4.12,4.12,-
2020-10-22,4.12,4.12,4.12,4.12,4.12,-
2020-10-21,4.12,4.12,4.12,4.12,4.12,-
2020-10-20,4.12,4.12,4.12,4.12,4.12,-
2020-10-19,4.12,4.12,4.12,4.12,4.12,-
2020-10-18,4.12,4.12,4.12,4.12,4.12,-
2020-10-17,4.12,4.12,4.12,4.12,4.12,-
2020-10-16,4.12,4.12,4.12,4.12,4.12,-
2020-10-15,4.12,4.12,4.12,4.12,4.12,-
2020-10-14,4.12,4.12,4.12,4.12,4.12,-
2020-10-13,4.12,4.12,4.12,4.12,4.12,-
2020-10-12,4.12,4.12,4.12,4.12,4.12,-
2020-10-11,4.12,4.12,4.12,4.12,4.12,-
2020-10-10,4.12,4.12,4.12,4.12,4.12,-
2020-10-09,4.12,4.12,4.12,4.12,4.12,-
2020-10-08,4.12,4.12,4.12,4.12,4.12,-
2020-10-07,4.12,4.12,4.12,4.12,4.12,-
2020-10-06,4.12,4.12,4.12,4.12,4.12,-
2020-10-05,4.12,4.12,4.12,4.12,4.12,-
2020-10-04,4.12,4.12,4.12,4.12,4.12,-
2020-10-03,4.12,4.12,4.12,4.12,4.12,-
2020-10-02,4.12,4.12,4.12,4.12,4.12,-
2020-10-01,4.12,4.12,4.12,4.12,4.12,-
2020-09-30,4.12,4.12,4.12,4.12,4.12,-
2020-09-29,4.12,4.12,4.12,4.12,4.12,-
2020-09-28,4.12,4.12,4.12,4.12,4.12,-
2020-09-27,4.12,4.12,4.12,4.12,4.12,-
2020-09-26,4.12,4.12,4.12,4.12,4.12,-
2020-09-25,4.12,4.12,4.12,4.12,4.12,-
2020-09-24,4.12,4.12,4.12,4.12,4.12,-
2020-09-23,4.12,4.12,4.12,4.12,4.12,-
2020-09-22,4.12,4.12,4.12,4.12,4.12,-
2020-09-21,4.12,4.12,4.12,4.12,4.12,-
2020-09-20,4.12,4.12,4.12,4.12,4.12,-
2020-09-19,4.12,4.12,4.12,4.12,4.12,-
2020-09-18,4.12,4.12,4.12,4.12,4.12,-
2020-09-17,4.12,4.12,4.12,4.12,4.12,-
2020-09-16,4.12,4.12,4.12,4.12,4.12,-
2020-09-15,4.12,4.12,4.12,4.12,4.12,-
2020-09-14,4.12,4.12,4.12,4.12,4.12,-
2020-09-13,4.12,4.12,4.12,4.12,4.12,-
2020-09-12,4.12,4.12,4.12,4.12,4.12,-
2020-09-11,4.12,4.12,4.12,4.12,4.12,-
2020-09-10,4.12,4.12,4.12,4.12,4.12,-
2020-09-09,4.12,4.12,4.12,4.12,4.12,-
2020-09-08,4.12,4.12,4.12,4.12,4.12,-
2020-09-07,4.12,4.12,4.12,4.12,4.12,-
2020-09-06,4.12,4.12,4.12,4.12,4.12,-
2020-09-05,4.12,4.12,4.12,4.12,4.12,-
2020-09-04,4.12,4.12,4.12,4.12,4.12,-
2020-09-03,4.12,4.12,4.12,4.12,4.12,-
2020-09-02,4.12,4.12,4.12,4.12,4.12,-
2020-09-01,4.12,4.12,4.12,4.12,4.12,-
2020-08-31,4.12,4.12,4.12,4.12,4.12,-
2020-08-30,4.12,4.12,4.12,4.12,4.12,-
2020-08-29,4.12,4.12,4.12,4.12,4.12,-
2020-08-28,4.12,4.12,4.12,4.12,4.12,-
2020-08-27,4.12,4.12,4.12,4.12,4.12,-
2020-08-26,4.12,4.12,4.12,4.12,4.12,-
2020-08-25,4.12,4.12,4.12,4.12,4.12,-
2020-08-24,4.12,4.12,4.12,4.12,4.12,-
2020-08-23,4.12,4.12,4.12,4.12,4.12,-
2020-08-22,4.12,4.12,4.12,4.12,4.12,-
2020-08-21,4.12,4.12,4.12,4.12,4.12,-
2020-08-20,4.12,4.12,4.12,4.12,4.12,-
2020-08-19,4.12,4.12,4.12,4.12,4.12,-
2020-08-18,4.12,4.12,4.12,4.12,4.12,-
2020-08-17,4.12,4.12,4.12,4.12,4.12,-
2020-08-16,4.12,4.12,4.12,4.12,4.12,-
2020-08-15,4.12,4.12,4.12,4.12,4.12,-
2020-08-14,4.12,4.12,4.12,4.12,4.12,-
2020-08-13,4.12,4.12,4.12,4.12,4.12,-
2020-08-12,4.12,4.12,4.12,4.12,4.12,-
2020-08-11,4.12,4.12,4.12,4.12,4.12,-
2020-08-10,4.12,4.12,4.12,4.12,4.12,-
2020-08-09,4.12,4.12,4.12,4.12,4.12,-
2020-08-08,4.12,4.12,4.12,4.12,4.12,-
2020-08-07,4.12,4.12,4.12,4.12,4.12,-
2020-08-06,4.12,4.12,4.12,4.12,4.12,-
2020-08-05,4.12,4.12,4.12,4.12,4.12,-
2020-08-04,4.12,4.12,4.12,4.12,4.12,-
2020-08-03,4.12,4.12,4.12,4.12,4.12,-
2020-08-02,4.12,4.12,4.12,4.12,4.12,-
2020-08-01,4.12,4.12,4.12,4.12,4.12,-
2020-07-31,4.12,4.12,4.12,4.12,4.12,-
2020-07-30,4.12,4.12,4.12,4.12,4.12,-
2020-07-29,4.12,4.12,4.12,4.12,4.12,-
2020-07-28,4.12,4.12,4.12,4.12,4.12,-
2020-07-27,4.12,4.12,4.12,4.12,4.12,-
2020-07-26,4.12,4.12,4.12,4.12,4.12,-
2020-07-25,4.12,4.12,4.12,4.12,4.12,-
2020-07-24,4.12,4.12,4.12,4.12,4.12,-
2020-07-23,4.12,4.12,4.12,4.12,4.12,-
2020-07-22,4.12,4.12,4.12,4.12,4.12,-
2020-07-21,4.12,4.12,4.12,4.12,4.12,-
2020-07-20,4.12,4.12,4.12,4.12,4.12,-
2020-07-19,4.12,4.12,4.12,4.12,4.12,-
2020-07-18,4.12,4.12,4.12,4.12,4.12,-
2020-07-17,4.12,4.12,4.12,4.12,4.12,-
2020-07-16,4.12,4.12,4.12,4.12,4.12,-
2020-07-15,4.12,4.12,4.12,4.12,4.12,-
2020-07-14,4.12,4.12,4.12,4.12,4.12,-
2020-07-13,4.12,4.12,4.12,4.12,4.12,-
2020-07-12,4.12,4.12,4.12,4.12,4.12,-
2020-07-11,4.12,4.12,4.12,4.12,4.12,-
2020-07-10,4.12,4.12,4.12,4.12,4.12,-
2020-07-09,4.12,4.12,4.12,4.12,4.12,-
2020-07-08,4.12,4.12,4.12,4.12,4.12,-
2020-07-07,4.12,4.12,4.12,4.12,4.12,-
2020-07-06,4.12,4.12,4.12,4.12,4.12,-
2020-07-05,4.12,4.12,4.12,4.12,4.12,-
2020-07-04,4.12,4.12,4.12,4.12,4.12,-
2020-07-03,4.12,4.12,4.12,4.12,4.12,-
2020-07-02,4.12,4.12,4.12,4.12,4.12,-
2020-07-01,4.12,4.12,4.12,4.12,4.12,-
2020-06-30,4.12,4.12,4.12,4.12,4.12,-
2020-06-29,4.12,4.12,4.12,4.12,4.12,-
2020-06-28,4.12,4.12,4.12,4.12,4.12,-
2020-06-27,4.12,4.12,4.12,4.12,4.12,-
2020-06-26,4.12,4.12,4.12,4.12,4.12,-
2020-06-25,4.12,4.12,4.12,4.12,4.12,-
2020-06-24,4.12,4.12,4.12,4.12,4.12,-
2020-06-23,4.12,4.12,4.12,4.12,4.12,-
2020-06-22,4.12,4.12,4.12,4.12,4.12,-
2020-06-21,4.12,4.12,4.12,4.12,4.12,-
2020-06-20,4.12,4.12,4.12,4.12,4.12,-
2020-06-19,4.12,4.12,4.12,4.12,4.12,-
2020-06-18,4.12,4.12,4.12,4.12,4.12,-
2020-06-17,4.12,4.12,4.12,4.12,4.12,-
2020-06-16,4.12,4.12,4.12,4.12,4.12,-
2020-06-15,4.12,4.12,4.12,4.12,4.12,-
2020-06-14,4.12,4.12,4.12,4.12,4.12,-
2020-06-13,4.12,4.12,4.12,4.12,4.12,-
2020-06-12,4.12,4.12,4.12,4.12,4.12,-
2020-06-11,4.12,4.12,4.12,4.12,4.12,-
2020-06-10,4.12,4.12,4.12,4.12,4.12,-
